prefecture,n
江苏省南京市,605
江苏省淮安市,322
安徽省马鞍山市,313
江苏省盐城市,286
江苏省宿迁市,232
江苏省连云港市,124
江苏省扬州市,123
江苏省镇江市,79
江苏省常州市,58
安徽省安庆市,39
安徽省宿州市,30
江苏省泰州市,27
江苏省南通市,26
安徽省滁州市,25
江苏省徐州市,22
江苏省苏州市,21
安徽省池州市,20
安徽省蚌埠市,17
安徽省六安市,13
安徽省合肥市,13
安徽省宣城市,13
安徽省黄山市,11
江苏省无锡市,10
安徽省铜陵市,9
安徽省淮南市,6
安徽省亳州市,5
安徽省淮北市,3
安徽省芜湖市,3
安徽省阜阳市,3
